condition,t,eta_eff,R,c_dilute,D_surf,k_ads,k_off_at_L0,n_mt,n_tip_bound,n_escaped,frac_tip_bound,mean_L,max_L,mean_surf,min_surf,escape_index,aster_S,label,color,seed
η=3,866.6666666666667,3.0,8.0,10.0,0.3333333333333333,0.0021875,8.574626557890533e-06,28,28,0,1.0,1.4006250845580648,2.1583507674576463,48.74730945647163,45.74031832798106,0.0,0.011243169142914797,η=3,#f4a261,44
η=3,900.0000000000001,3.0,8.0,10.0,0.3333333333333333,0.0021875,8.574626557890533e-06,28,28,0,1.0,1.452032719895346,2.1583507674576463,49.06387678045829,46.05769516687825,0.0,0.01124363729504192,η=3,#f4a261,44
η=3,933.3333333333334,3.0,8.0,10.0,0.3333333333333333,0.0021875,8.574626557890533e-06,28,28,0,1.0,1.497012215297342,2.1583507674576463,49.33289275101993,46.33943851712125,0.0,0.011244383245530457,η=3,#f4a261,44
η=3,966.6666666666667,3.0,8.0,10.0,0.3333333333333333,0.0021875,8.574626557890533e-06,28,28,0,1.0,1.5805180519701547,2.3382741965466556,49.635370749488196,46.63356929395144,0.0,0.011244279598157395,η=3,#f4a261,44
η=3,1000.0000000000001,3.0,8.0,10.0,0.3333333333333333,0.0021875,8.574626557890533e-06,28,28,0,1.0,1.6126446309745577,2.3382741965466556,49.93360124863889,46.93891351073207,0.0,0.01124410591607008,η=3,#f4a261,44
η=3,1033.3333333333335,3.0,8.0,10.0,0.3333333333333333,0.0021875,8.574626557890533e-06,28,28,0,1.0,1.6512005523817292,2.3382741965466556,50.07903742644455,47.08596342911169,0.0,0.011244543420016484,η=3,#f4a261,44
η=3,1066.6666666666667,3.0,8.0,10.0,0.3333333333333333,0.0021875,8.574626557890533e-06,28,28,0,1.0,1.696181260707523,2.3382741965466556,50.295211660051066,47.295585323894215,0.0,0.011244614860419973,η=3,#f4a261,44
η=3,1100.0,3.0,8.0,10.0,0.3333333333333333,0.0021875,8.574626557890533e-06,28,28,0,1.0,1.7604288911523245,2.5179909649083387,50.493354372617794,47.47971726122476,0.0,0.011244395459578112,η=3,#f4a261,44
η=3,1133.3333333333335,3.0,8.0,10.0,0.3333333333333333,0.0021875,8.574626557890533e-06,28,28,0,1.0,1.811831709176339,2.6979571436074683,50.67153601131723,47.66618034936008,0.0,0.01124479351376055,η=3,#f4a261,44
η=3,1166.6666666666667,3.0,8.0,10.0,0.3333333333333333,0.0021875,8.574626557890533e-06,28,28,0,1.0,1.8760819137204288,2.8778088032232527,50.88286996323664,47.89505977509066,0.0,0.011244056185660847,η=3,#f4a261,44
